iso3,country,UNregion,r_placeholder,g0,delta_g_per_capita,population,total_deficit_usd,rank_by_total_deficit,rank_by_r_lowest,undernourish_pct,poverty_215_pct,has_gdp,has_socio,data_notes
HTI,Haiti,Caribbean,0.4722222222222221,2142.62330526788,56.54144833345796,11772557.0,665637423.3681889,110,1,54.2,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
GIN,Guinea,Western Africa,0.4722222222222221,1694.95375862193,44.72794640807872,14754785.0,659951232.7427238,111,1,11.4,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
GUY,Guyana,South America,0.4722222222222221,29675.2443873316,783.0967268879175,831087.0,650821509.4590987,112,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MNG,Mongolia,Eastern Asia,0.4722222222222221,6750.6301157724,178.14162805510506,3524788.0,627911472.8690977,113,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BFA,Burkina Faso,Western Africa,0.4722222222222221,981.992649769081,25.91369492446187,23548781.0,610235926.676964,114,1,13.1,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MOZ,Mozambique,Eastern Africa,0.4722222222222221,656.776824637306,17.331610650151138,34631766.0,600224284.4391421,115,1,21.8,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
LVA,Latvia,Northern Europe,0.7271333333333332,23409.0845154775,319.37794307283156,1866124.0,595998844.6388447,116,173,2.5,0.4,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
EST,Estonia,Northern Europe,0.7274333333333332,31428.3547816104,428.31609508204735,1372341.0,587795738.240992,117,178,2.5,0.3,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
JAM,Jamaica,Caribbean,0.4722222222222221,7753.8006955432,204.61418502127896,2839175.0,580935478.7577897,118,1,7.7,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BEN,Benin,Western Africa,0.4722222222222221,1485.38018885134,39.19753276135482,14462724.0,566903097.8084327,119,1,14.3,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
